symbol,ref,year,n,frac_close_eq,frac_vol_eq_1pct,vol_median_ratio
SEIUSDT,spot,2023,3286,0.1926,0.0,4.0195
SEIUSDT,spot,2024,8784,0.0457,0.0,3.2296
SEIUSDT,spot,2025,8760,0.1118,0.0,2.9859
SEIUSDT,spot,2026,4297,0.1201,0.0,4.4604
SOLUSDT,perp,2020,2586,0.9996,0.9714,1.0
SOLUSDT,perp,2021,8760,1.0,0.9829,1.0
SOLUSDT,perp,2022,8640,1.0,0.9913,1.0
SOLUSDT,perp,2023,8760,1.0,0.9741,1.0
SOLUSDT,perp,2024,8784,1.0,0.976,1.0
SOLUSDT,perp,2025,8760,1.0,0.9761,1.0
SOLUSDT,perp,2026,5088,0.6557,0.6368,1.0
SOLUSDT,spot,2020,2581,0.0411,0.0,4.8158
SOLUSDT,spot,2021,8747,0.0775,0.0003,2.9937
SOLUSDT,spot,2022,8640,0.0678,0.0,5.7284
SOLUSDT,spot,2023,8759,0.101,0.0,7.4824
SOLUSDT,spot,2024,8784,0.0526,0.0,4.5146
SOLUSDT,spot,2025,8760,0.0129,0.0,6.4177
SOLUSDT,spot,2026,5088,0.3441,0.3441,6.6585
STXUSDT,perp,2023,7522,1.0,0.9999,1.0
STXUSDT,perp,2024,8784,0.9998,0.9997,1.0
STXUSDT,perp,2025,8760,1.0,0.9995,1.0
STXUSDT,perp,2026,4297,0.9998,0.9998,1.0
STXUSDT,spot,2023,7521,0.0649,0.0,7.3821
STXUSDT,spot,2024,8784,0.0757,0.0,4.8061
STXUSDT,spot,2025,8760,0.062,0.0,5.0331
STXUSDT,spot,2026,4297,0.0391,0.0,6.0129
SUIUSDT,perp,2023,5816,1.0,0.9997,1.0
SUIUSDT,perp,2024,8784,0.9998,0.9997,1.0
SUIUSDT,perp,2025,8760,1.0,0.9995,1.0
SUIUSDT,perp,2026,4296,0.9998,0.9998,1.0
SUIUSDT,spot,2023,5816,0.0476,0.0,7.0524
SUIUSDT,spot,2024,8784,0.0566,0.0,4.0461
SUIUSDT,spot,2025,8760,0.0304,0.0,4.6074
SUIUSDT,spot,2026,4296,0.0002,0.0,5.2521
TAOUSDT,perp,2024,6346,0.9997,0.9998,1.0
TAOUSDT,perp,2025,8760,1.0,0.9995,1.0
TAOUSDT,perp,2026,4297,0.9998,0.9998,1.0
TAOUSDT,spot,2024,6346,0.107,0.0002,2.5939
TAOUSDT,spot,2025,8760,0.084,0.0001,4.1307
TAOUSDT,spot,2026,4297,0.0421,0.0002,5.5516
TIAUSDT,perp,2023,1470,1.0,0.9993,1.0
TIAUSDT,perp,2024,8784,0.9998,0.9997,1.0
TIAUSDT,perp,2025,8760,1.0,0.9995,1.0
TIAUSDT,perp,2026,4297,0.9998,0.9998,1.0
